序號,國別,片名,上映日,總金額,總票數,首週票房,tmdb_id,imdb_id,tmdb_title,tmdb_original_title,tmdb_release_date,original_language,genres,popularity,vote_average,vote_count,runtime,production_countries,match_status,match_note
223,中華民國,陽光女子合唱團,2025-12-31,774170061,2822510,23557113,1481955,tt38984207,陽光女子合唱團,陽光女子合唱團,2025-12-31,zh,剧情|音乐,3.7177,7.2,6,129,TW,matched,
224,美國,家弒服務,2025-12-31,9095899,34254,2381704,1368166,tt27543632,家弒服務,The Housemaid,2025-12-18,en,悬疑|惊悚,63.0472,7.237,2067,131,US,matched,
225,中華民國,叫我驅魔男神,2025-12-31,4097485,15653,1358110,1185175,tt31409599,叫我驅魔男神,叫我驅魔男神,2025-12-31,zh,剧情|奇幻|喜剧,0.6714,0.0,0,0,IN|TW,matched,
227,美國,顫懼,2025-12-31,746469,2866,127490,1288072,tt32332404,顫懼,Keeper,2025-11-12,en,恐怖|悬疑,3.9784,5.624,229,99,CA,matched,
228,挪威,冰雪壞皇后,2025-12-31,340101,1444,48814,1455670,tt35485979,冰雪壞皇后,Reisen mot Nord,2025-11-07,no,动画|家庭|冒险|奇幻,0.3153,0.0,0,85,NO,matched,
229,法國,格陵蘭雪女,2025-12-31,130732,612,24130,1221711,tt34717620,格陵蘭雪女,L'Incroyable Femme des neiges,2025-11-12,fr,喜剧|剧情,0.9454,6.9,12,111,FR,matched,
230,香港,再生號,2025-12-29,3370,18,0,25187,tt1451620,再生號,再生號,2009-06-19,cn,剧情|奇幻,0.9364,5.4,12,85,HK,matched,
231,香港,憂憂愁愁的走了,2025-12-27,9340,47,0,425850,tt0306253,憂憂愁愁的走了,憂憂愁愁的走了,2001-12-01,cn,剧情,0.946,6.6,5,90,HK,matched,
232,香港,無花果,2025-12-27,8340,40,0,663524,tt4363492,無花果,無花果,2014-02-19,cn,剧情|爱情,0.3359,0.0,0,97,HK|MO,matched,
233,韓國,#RUNSEOKJIN_EP.TOUR THE MOVIE,2025-12-26,2910755,5042,233420,1575712,tt38990836,#런석진_에피소드.투어 더 무비,#런석진_에피소드.투어 더 무비,2025-12-27,ko,纪录|音乐,0.7535,5.0,1,94,KR,matched,
235,義大利,聖方濟傳,2025-12-26,12300,67,0,84981,tt0097383,聖方濟傳,Francesco,1989-03-22,en,剧情|历史,0.6084,6.553,57,157,IT|DE,matched,
236,美國,橫衝直闖,2025-12-25,8270071,28502,1854654,1317288,tt32916440,橫衝直闖,Marty Supreme,2025-12-19,en,剧情|惊悚,22.6576,7.39,1694,150,US,matched,
237,法國,穿越地獄之門,2025-12-25,7751397,25488,13050,1151272,tt32298285,穿越地獄之門,Sirāt,2025-06-06,es,剧情|惊悚,7.736,6.841,626,115,ES|FR,matched,
238,巴西,這不只是個間諜故事,2025-12-25,1007394,3766,103520,1220564,tt27847051,這不只是個間諜故事,O Agente Secreto,2025-07-23,pt,惊悚|剧情|犯罪,10.7917,7.3,645,161,BR|FR|DE|NL|AR,matched,
239,日本,佐賀偶像是傳奇 夢幻銀河樂園,2025-12-24,12942590,40522,2152097,959646,tt35658228,佐賀偶像是傳奇 夢幻銀河樂園,劇場版 ゾンビランドサガ ゆめぎんがパラダイス,2025-10-24,ja,动画|喜剧|音乐|动作,1.7728,8.0,1,0,JP,matched,
240,美國,大衛：王者降臨,2025-12-24,5437236,22927,1260213,1167307,tt15678738,大衛：王者降臨,David,2025-12-14,en,动画|剧情|家庭|历史,20.3989,8.1,134,109,US|ZA,matched,
243,法國,禽獸該死,2025-12-24,42020,212,13150,2527,tt0064861,禽獸該死,Que la bête meure,1969-09-04,fr,惊悚|剧情|犯罪,0.752,7.353,174,113,FR|IT,matched,
244,日本,光明的未來,2025-12-24,31510,155,0,26886,tt0363235,光明的未來,アカルイミライ,2003-01-18,ja,剧情|悬疑,1.2212,6.8,54,115,JP,matched,
245,法國,女鹿,2025-12-22,44370,217,0,1787,tt0062728,女鹿,Les Biches,1968-03-22,fr,剧情|爱情,1.6344,6.05,90,95,FR|IT,matched,
246,美國,海綿寶寶電影版：尋寶大冒險,2025-12-21,11743295,43976,3777216,991494,tt23572848,海綿寶寶電影版：尋寶大冒險,The SpongeBob Movie: Search for SquarePants,2025-12-16,en,冒险|动画|喜剧|家庭|奇幻,23.0773,6.833,282,88,US,matched,
247,美國,大蟒蛇,2025-12-21,10256641,39541,3884251,1234731,tt33244668,大蟒蛇,Anaconda,2025-12-24,en,冒险|喜剧|恐怖,35.0147,5.878,1120,99,US,matched,
248,義大利,極樂大餐,2025-12-21,24790,124,9710,10102,tt0070130,極樂大餐,La Grande Bouffe,1973-05-16,fr,剧情|喜剧,1.887,7.092,545,130,FR|IT,matched,
249,法國,屠夫,2025-12-20,43770,216,0,2912,tt0064106,屠夫,Le Boucher,1970-02-27,fr,惊悚|犯罪|剧情,0.8039,7.126,273,93,FR|IT,matched,
250,墨西哥/西班牙,生命最後之旅,2025-12-20,25790,134,0,36211,tt0322824,生命最後之旅,Japón,2003-01-15,es,剧情,0.3747,6.627,71,134,DE|MX|NL|ES,matched,
254,日本,劇場版 BanG Dream! It's MyGO!!!!! 後篇：唱吧、成為我們羈絆的詩歌&FILM LIVE,2025-12-19,4819576,16251,1085227,1233186,tt39181013,劇場版 BanG Dream! It's MyGO!!!!! 後編：唱吧、成為我們羈絆的詩歌&FILM LIVE,BanG Dream! It's MyGO!!!!! 後編：うたう、僕らになれるうた & FILM LIVE,2024-11-08,ja,音乐|动画,0.3953,0.0,0,120,JP,matched,
256,泰國,哈囉！萌鬼屋2：三生三世,2025-12-19,277753,1208,8880,1418302,tt38808167,อนงค์ 2..สามสี่ชาติ,อนงค์ 2..สามสี่ชาติ,2025-10-30,th,爱情|喜剧|恐怖,2.5037,4.0,3,117,TH,matched,
257,中國大陸,尋她,2025-12-19,138017,614,22323,1133008,tt26935954,寻她,寻她,2025-10-17,zh,剧情,0.631,0.0,0,0,CN,matched,
258,法國,聖誕五告讚！,2025-12-19,91816,411,9620,978102,tt33077003,聖誕五告讚！,Le Grand Noël des animaux,2024-11-21,fr,动画|家庭|奇幻,0.1859,7.3,4,70,FR|DE,matched,
261,法國,失序狀態,2025-12-19,17070,86,0,64102,tt0090986,失序狀態,Désordre,1986-11-12,fr,剧情|音乐,0.3325,6.143,21,91,FR,matched,
262,美國,喪屍未逝,2025-12-19,16590,83,10880,535581,tt8695030,喪屍未逝,The Dead Don't Die,2019-05-15,en,喜剧|恐怖,3.3801,5.429,2841,104,US|SE|JP,matched,
263,葡萄牙,里斯本記憶迷宮,2025-12-19,14360,73,0,285697,tt3907156,里斯本記憶迷宮,Cavalo Dinheiro,2014-08-13,pt,剧情,0.2026,7.2,50,104,PT,matched,
265,美國,阿凡達：火與燼,2025-12-17,492289656,1290123,135372768,83533,tt1757678,阿凡達：火與燼,Avatar: Fire and Ash,2025-12-17,en,科幻|冒险|奇幻,155.0351,7.434,2982,198,US,matched,
266,馬來西亞,地母,2025-12-15,1488695,6240,488661,1367555,tt33708662,地母,Ibu Bhumi,2025-12-19,ms,剧情|历史,2.0471,8.1,5,129,IT|MY|HK|SA,matched,
267,日本,天使之卵,2025-12-14,6671132,23921,0,15916,tt0208502,天使之卵,天使のたまご,1985-12-22,ja,动画|奇幻|悬疑,3.697,7.711,573,71,JP,matched,
268,日本,東京計程車,2025-12-14,1852784,7767,573292,1422404,tt35521394,東京計程車,TOKYOタクシー,2025-11-21,ja,剧情,2.1225,7.875,12,103,JP,matched,
270,越南,甕靈,2025-12-12,2167116,8095,406526,1466131,tt36414938,甕靈,Út Lan: Oán Linh Giữ Của,2025-06-20,vi,恐怖,1.5351,6.5,2,111,VN,matched,
271,美國,玩命中繼站,2025-12-12,2061100,8693,205192,1088166,tt11539996,玩命中繼站,Relay,2025-08-21,en,动作|剧情|惊悚,4.4641,6.929,406,112,US|GB,matched,
272,日本,OFFICIAL HIGE DANDISM LIVE at STADIUM 2025,2025-12-12,1446406,2769,167850,1583662,tt38753518,劇場版 OFFICIAL HIGE DANDISM LIVE at STADIUM 2025,劇場版 OFFICIAL HIGE DANDISM LIVE at STADIUM 2025,2025-10-17,ja,音乐|纪录,0.0809,0.0,0,0,JP,matched,
273,香港,眾生相,2025-12-12,1111511,4463,236209,999689,tt35453155,眾生相,眾生相,2025-11-26,cn,剧情,0.6412,7.8,3,87,HK|US,matched,
274,日本,寶島,2025-12-12,155324,615,13500,1293968,tt38119721,寶島,宝島,2025-09-19,ja,剧情,1.1105,8.0,6,191,JP|US,matched,
275,中華民國,那張照片裡的我們,2025-12-10,9078842,34547,512960,1088140,tt38893262,那張照片裡的我們,那張照片裡的我們,2025-12-24,zh,爱情|历史,1.2915,0.0,0,126,TW,matched,
276,日本,Scarlet永無止境的史嘉蕾,2025-12-10,1570822,5305,117439,1406657,tt35114460,Scarlet永無止境的史嘉蕾,果てしなきスカーレット,2025-11-21,ja,动画|动作|剧情|科幻,9.1713,7.3,87,112,JP|US,matched,
278,日本,旅與日子,2025-12-06,734088,3161,277460,1462735,tt37538491,旅與日子,旅と日々,2025-11-07,ja,剧情,2.2808,7.7,11,89,JP,matched,
279,中華民國,南半球最璀璨的星星,2025-12-06,381590,1702,131800,1586505,,南半球最璀璨的星星,南半球最璀璨的星星,2025-09-14,zh,纪录,0.0071,0.0,0,107,TW,matched_without_imdb_id,
280,中華民國,螳螂,2025-12-06,158525,712,61505,1267319,tt33312131,殺手螳螂,사마귀,2025-09-25,ko,动作|犯罪|惊悚,8.175,6.4,163,113,KR,matched,
281,美國,佛萊迪餐館之五夜驚魂 2,2025-12-05,7106466,25867,2206569,1228246,tt30274401,佛萊迪餐館之五夜驚魂2,Five Nights at Freddy's 2,2025-12-03,en,恐怖|惊悚,21.4673,6.669,922,104,US,matched,
282,日本,劇場版 BanG Dream! It's MyGO!!!!! 前篇：春暖向陽，迷星之貓,2025-12-05,6007246,19078,933850,1231799,tt36808553,劇場版 BanG Dream! It's MyGO!!!!! 前篇：春暖向陽，迷星之貓,BanG Dream! It's MyGO!!!!! 前編：春の陽だまり、迷い猫,2024-09-27,ja,动画|音乐,0.8516,10.0,1,118,JP,matched,
283,美國,康斯坦汀：驅魔神探,2025-12-05,3252386,11655,705215,561,tt0360486,康斯坦汀：驅魔神探,Constantine,2005-02-08,en,奇幻|动作|恐怖,18.2201,7.138,8016,121,DE|US,matched,
284,中華民國,大風之島,2025-12-05,1313674,5781,228967,1127662,tt37388324,大風之島,大風之島,2025-12-05,zh,纪录,0.1792,0.0,0,119,TW|JP|FR,matched,
286,日本,純潔龐克 發條少女,2025-12-05,779005,4943,211030,1360829,tt33384612,純潔龐克發條少女,ヴァージン・パンク Clockwork Girl,2025-06-27,ja,动画|动作|科幻,4.7791,6.882,17,36,JP,matched,
287,日本,群山淡景,2025-12-05,716476,3186,146659,1337985,tt33253688,群山淡景,遠い山なみの光,2025-09-05,ja,剧情|历史,3.1277,7.8,15,123,JP|GB|PL|SG,matched,
288,日本,草莓月亮:餘命半年的約定,2025-12-05,332350,1421,53348,1502700,tt38753563,草莓月亮：餘命半年的約定,ストロベリームーン 余命半年の恋,2025-10-17,ja,爱情|剧情,1.3677,0.0,0,120,JP,matched,
289,韓國,自然有話說,2025-12-05,81946,358,15680,1418849,tt35499025,自然有話說,그 자연이 네게 뭐라고 하니,2025-05-14,ko,剧情,1.1985,7.0,11,109,KR,matched,
290,美國,奮力一戰,2025-12-05,73180,286,3317,1505267,tt29228399,奮力一戰,The Correction Unit,2025-12-05,en,科幻|惊悚,0.8567,2.7,3,96,GB,matched,
291,韓國,MONSTA X：CONNECT X IN CINEMAS,2025-12-03,939600,1497,0,1565552,tt38787920,몬스타엑스 : 커넥트엑스 인 시네마,몬스타엑스 : 커넥트엑스 인 시네마,2025-12-03,ko,音乐|纪录,0.3189,0.0,0,118,KR,matched,
292,中國大陸,默殺,2025-12-03,229292,941,51624,1019828,tt22171834,默殺：無聲之地,默殺：無聲之地,2024-10-18,zh,犯罪|惊悚,1.1311,7.1,9,105,MY|SG|TW,matched,
294,美國,換乘真愛,2025-11-28,4786395,18193,965063,1259102,tt24950660,換乘真愛,Eternity,2025-11-26,en,爱情|喜剧|剧情,9.2211,7.0,639,114,US,matched,
295,英國,限時營救,2025-11-28,2012542,8610,321393,1448560,tt36153493,限時營救,Wildcat,2025-11-19,en,动作|惊悚,17.0376,6.212,158,99,GB,matched,
296,日本,浮世繪女兒,2025-11-28,622839,2689,138223,1469857,tt37675771,浮世繪女兒,おーい、応為,2025-10-17,ja,剧情|历史,1.0229,7.917,6,122,JP,matched,
297,日本,奇蹟鳳仙花,2025-11-28,554143,2192,338800,1294972,tt36639400,奇蹟鳳仙花,ホウセンカ,2025-10-10,ja,动画|剧情|犯罪,0.8551,7.8,6,75,JP,matched,
301,日本,攀岳人生,2025-11-28,135147,588,16675,1239521,tt32126891,攀岳人生,ライフ・イズ・クライミング！,2023-05-12,ja,纪录|冒险,0.1968,0.0,0,89,JP,matched,
304,中華民國,大濛,2025-11-27,110748710,420576,14464932,1174334,tt32080855,大濛,大濛,2025-11-27,zh,冒险|剧情,2.523,7.3,15,134,TW,matched,
305,美國,動物方城市2,2025-11-25,756686258,2605840,186778208,1084242,tt26443597,動物方城市2,Zootopia 2,2025-11-26,en,冒险|动画|喜剧|家庭|悬疑,93.8295,7.626,2721,108,US|CA,matched,
306,法國,撤離倒數13天,2025-11-23,403742,2309,160550,1254135,tt28291010,撤離倒數13天,"13 Jours, 13 Nuits",2025-06-27,fr,战争|动作|惊悚,2.7425,6.682,220,111,FR|BE,matched,
