"Model","Feature","Accuracy_drop","F1_drop"
"Decision Tree","popularity",0.0978172524293452,0.36476116615009
"Decision Tree","vote_count",0.0175449673039614,0.0858094678961146
"Decision Tree","genre",0.0139108656146567,0.0567899943472806
"Decision Tree","year",0.0122018203534635,0.0227709674943751
"Decision Tree","rating",0.00152489870525211,0.000803709358131899
"Decision Tree","runtime",0,0
"Logistic Regression","popularity",0.0648247297860169,0.243710347442757
"Logistic Regression","genre",0.0244014573512321,0.113197649526237
"Logistic Regression","vote_count",0.00610396452808402,0.0229294898507781
"Logistic Regression","rating",0.0017203934184283,0.0119899721695218
"Logistic Regression","year",0.0020982916976689,0.00701789075538362
"Logistic Regression","runtime",0.00114721886143719,0.00683838714445875
"Random Forest","popularity",0.0827526143911998,0.318181053560555
"Random Forest","vote_count",0.015644789048172,0.0538176546797628
"Random Forest","genre",0.0101052706471093,0.0388117609681863
"Random Forest","year",0.0104864449584542,0.0239471729543114
"Random Forest","runtime",0.00115092826942596,0.00868128286950624
"Random Forest","rating",-6.55805558062254e-07,0.00114014274882869
"XGBoost","popularity",0.0922982370014383,0.330505032236158
"XGBoost","vote_count",0.01716401542229,0.0631243431502267
"XGBoost","genre",0.0127723741846273,0.0486672029171203
"XGBoost","year",0.0167795750644603,0.0391175792232403
"XGBoost","runtime",0.00533813192276468,0.0229580979405738
"XGBoost","rating",0.00381344965581441,0.0119308425434244
