"revenue","genre","year","runtime","rating","vote_count","popularity","High_Revenue"
774170061,"剧情",2025,129,7.2,6,3.7177,"High_Revenue"
9095899,"悬疑",2025,131,7.237,2067,63.0472,"High_Revenue"
4097485,"剧情",2025,0,0,0,0.6714,"Non_High_Revenue"
746469,"恐怖",2025,99,5.624,229,3.9784,"Non_High_Revenue"
340101,"动画",2025,85,0,0,0.3153,"Non_High_Revenue"
130732,"喜剧",2025,111,6.9,12,0.9454,"Non_High_Revenue"
3370,"剧情",2025,85,5.4,12,0.9364,"Non_High_Revenue"
9340,"剧情",2025,90,6.6,5,0.946,"Non_High_Revenue"
8340,"剧情",2025,97,0,0,0.3359,"Non_High_Revenue"
2910755,"纪录",2025,94,5,1,0.7535,"Non_High_Revenue"
12300,"剧情",2025,157,6.553,57,0.6084,"Non_High_Revenue"
8270071,"剧情",2025,150,7.39,1694,22.6576,"High_Revenue"
7751397,"剧情",2025,115,6.841,626,7.736,"High_Revenue"
1007394,"惊悚",2025,161,7.3,645,10.7917,"Non_High_Revenue"
12942590,"动画",2025,0,8,1,1.7728,"High_Revenue"
5437236,"动画",2025,109,8.1,134,20.3989,"High_Revenue"
42020,"惊悚",2025,113,7.353,174,0.752,"Non_High_Revenue"
31510,"剧情",2025,115,6.8,54,1.2212,"Non_High_Revenue"
44370,"剧情",2025,95,6.05,90,1.6344,"Non_High_Revenue"
11743295,"冒险",2025,88,6.833,282,23.0773,"High_Revenue"
10256641,"冒险",2025,99,5.878,1120,35.0147,"High_Revenue"
24790,"剧情",2025,130,7.092,545,1.887,"Non_High_Revenue"
43770,"惊悚",2025,93,7.126,273,0.8039,"Non_High_Revenue"
25790,"剧情",2025,134,6.627,71,0.3747,"Non_High_Revenue"
4819576,"音乐",2025,120,0,0,0.3953,"High_Revenue"
277753,"爱情",2025,117,4,3,2.5037,"Non_High_Revenue"
138017,"剧情",2025,0,0,0,0.631,"Non_High_Revenue"
91816,"动画",2025,70,7.3,4,0.1859,"Non_High_Revenue"
